"","created_at","screen_name","text"
"1",2019-08-21 11:53:05,"katep08","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"2",2019-08-21 11:50:39,"ladypenelope111","#WhenYouWerentLooking Gordon and Alan put pink food colouring in your hair dye"
"3",2019-08-21 11:37:11,"sxflqmxl","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"4",2019-08-21 11:11:23,"georgettequinn","#WhenYouWerentLooking your toddler stole your cookie.  Love this video from .@holliehaire https://t.co/L51wJ02tpQ #normalizebreastfeeding #desserts #toddlers #funny #chestfeeding #breastfeeding #cookies https://t.co/u6YoBGXZXR"
"5",2019-08-21 10:48:29,"mysty812","I flirt with everyone  #WhenYouWerentLooking https://t.co/8GDSQXC76b"
"6",2019-08-21 10:45:17,"Yurmom31","#WhenYouWerentLooking we got even cuter on you. https://t.co/Xmfex5CWcu"
"7",2019-08-21 10:32:13,"ReadingIsOurPas","One should never cross #theWitch, for I will ruthlessly cut the betrayers from my HAVEN in order to make way for the true...

...and I promise...no one will ever fucking remember you...

#vss365 #TuesdayMotivation #TuesdayThoughts #WhenYouWerentLooking #ICantSleepBecause #mood https://t.co/IUe5C2oF6M"
"8",2019-08-21 09:47:52,"jadapatricee","#WhenYouWerentLooking America turned into Nazi Germany #FreeThePeople Let our brothers and sisters go. https://t.co/LwNnoCkg3t"
"9",2019-08-21 09:30:48,"TheRedheadDays","#WhenYouWerentlooking According to @bookingcom hotels in Tilburg's citycentre are fully booked during the @TheRedheadDays However, we reserved rooms at the Mercurehotel for our visitors; all but one of which have been claimed. The final one can be yours! <U+0001F6A6>https://t.co/QMXEdxlOtR https://t.co/Xqf2ER0SWb"
"10",2019-08-20 17:29:05,"TheRedheadDays","#WhenYouWerentlooking According to @bookingcom hotels in Tilburg's citycentre are fully booked during the @TheRedheadDays However, we reserved rooms at the Mercurehotel for our visitors; all but one of which have been claimed. The final one can be yours! <U+0001F6A6>https://t.co/QMXEdxlOtR https://t.co/Xqf2ER0SWb"
"11",2019-08-21 09:06:14,"inthedreaming","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"12",2019-08-21 09:01:39,"JJHicks1009","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"13",2019-08-21 08:48:24,"BluKek_","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"14",2019-08-21 08:37:09,"MysteeriR","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"15",2019-08-21 08:18:18,"JasonKILLpatriK","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"16",2019-08-21 08:03:43,"Carlswall","#WhenYouWerentLooking I hacked your Twitter account and followed your mom."
"17",2019-08-21 07:44:31,"NorienMajere","#WhenYouWerentLooking four little aliens broke out of #Area51. Now Nebula, Zenon, Proto Zoa, and Zoidberg need a place to hide for four weeks until the #Area51Raid, when they can phone home. Can you help? Email foster@morrisanimalrefuge.org - or please RT to spread the word! https://t.co/3Px3ez4L3S"
"18",2019-08-21 07:15:12,"1Ladyinwhite40","#WhenYouWerentLooking I removed that obstacle from your diet<U+0001F60F> https://t.co/hVbNHnCtQM"
"19",2019-08-21 06:35:09,"the__himanish","One should never cross #theWitch, for I will ruthlessly cut the betrayers from my HAVEN in order to make way for the true...

...and I promise...no one will ever fucking remember you...

#vss365 #TuesdayMotivation #TuesdayThoughts #WhenYouWerentLooking #ICantSleepBecause #mood https://t.co/IUe5C2oF6M"
"20",2019-08-21 06:27:49,"DrTchock","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"21",2019-08-21 06:26:19,"pad364","#WhenYouWerentLooking

<U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>    <U+230C> <U+23E0>    <U+2533><U+253B><U+2533><U+253B>
<U+253B><U+2533><U+253B>     <U+1555>( <U+275B>,<U+275B> )<U+1557>  <U+2533><U+253B><U+2533>
<U+2533><U+253B><U+2533><U+253B>     / <U+2323> \   <U+2533><U+253B><U+2533><U+253B>
 <U+0001D64A> <U+0001D64A> <U+0001D64A> <U+0001D643>  <U+0001D654> <U+0001D640> <U+0001D640> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D63C> <U+0001D643>"
"22",2019-08-21 06:24:52,"DrumnBass4ever1","Age crept up on you #WhenYouWerentLooking and wasn't kind"
"23",2019-08-20 18:17:01,"DrumnBass4ever1","I stuck your toothbrush up my ass #WhenYouWerentLooking enjoy brushing your teeth tonight https://t.co/bhE9fv0DXp"
"24",2019-08-20 18:32:28,"DrumnBass4ever1","I took your dog for a walk #WhenYouWerentLooking we are now engaged https://t.co/jyJS8kZLc5"
"25",2019-08-20 18:29:29,"DrumnBass4ever1","I stole your glasses #WhenYouWerentLooking"
